business_id|insertedAtTimestamp|name|address|coordinates|number_of_reviews|rating|zip_code|cuisine
oJ6fy4fBv_3WskxH4NfNBg|2024-02-20 13:35:23.866081|Chef Huang Jian Bing & Peking Duck|['635 2nd Ave', 'New York, NY 10016']|40.74531205210646,-73.9757772|93|4.6|10016|Chinese restaurant
8plXW6ZQI1awPu1scms3jQ|2024-02-20 13:35:23.866089|Silky Kitchen|['138 W 46th St', 'New York, NY 10036']|40.757889,-73.984009|85|4.5|10036|Chinese restaurant
1dFOF1HPaThSCsdiqR7DrA|2024-02-20 13:35:23.866096|Land of Plenty|['204E 58th St', 'New York, NY 10022']|40.760590326928856,-73.96659593005877|374|3.6|10022|Chinese restaurant
R3UNnA8EbjhNWBHS0wJ0VA|2024-02-20 13:35:23.866104|Grand Sichuan Eastern|['1049 2nd Ave', 'New York, NY 10022']|40.75831,-73.96636|283|3.3|10022|Chinese restaurant
ICNwlgXTrvFrGvaScUp8Ew|2024-02-20 13:35:23.866111|For U|['155 3rd Ave', 'New York, NY 10003']|40.73415,-73.98633|41|4.9|10003|Chinese restaurant
QaolMEijS7L6eodSneOdng|2024-02-20 13:35:23.866118|Tri Dim Shanghai West|['467 Columbus Ave', 'New York, NY 10024']|40.78412,-73.97368|247|4.1|10024|Chinese restaurant
_fTRTishY3G5dLPLYGCVAw|2024-02-20 13:35:23.866126|Tipsy Shanghai|['594 3rd Ave', 'New York, NY 10016']|40.74879,-73.9761|55|4.0|10016|Chinese restaurant
X8ZS-dgiMIJvhwf9SaDnjw|2024-02-20 13:35:23.866133|Wah Fung No 1|['79 Chrystie St', 'New York, NY 10002']|40.71735,-73.99457|2083|4.5|10002|Chinese restaurant
Q85ScF9s6vlS5_i453AFvg|2024-02-20 13:35:23.866140|Tangy Noodle|['98 8th Ave', 'New York, NY 10011']|40.740203,-74.00193|97|4.4|10011|Chinese restaurant
mUl0wtO7tPkBocuJqZ-7Dw|2024-02-20 13:35:23.866148|Dun Huang -  Grand Central|['320 Lexington Ave', 'New York, NY 10016']|40.74922,-73.97785|337|4.4|10016|Chinese restaurant
0vg2Z-HPwkyVVX613j2ysg|2024-02-20 13:35:23.866155|Peng's Noodle Folk|['1016 Lexington Ave', 'New York, NY 10021']|40.7711335538802,-73.9620354269869|565|4.5|10021|Chinese restaurant
r6r-XK_wL02FQdAgaauTxg|2024-02-20 13:35:23.866163|Kame|['330 8th Ave', 'New York, NY 10001']|40.7474881059799,-73.996648862958|838|4.5|10001|Chinese restaurant
JslnSWyVHejiDe4Pywz-bQ|2024-02-20 13:35:23.866171|EA Dumpling|['924 3rd Ave', 'New York, NY 10022']|40.75946872176375,-73.96844435547088|18|3.8|10022|Chinese restaurant
HR_a2QSA_KJZIakufAJUmg|2024-02-20 13:35:23.866178|Szechuan Gourmet|['21 W 39th St', 'New York, NY 10018']|40.752347,-73.983559|78|4.1|10018|Chinese restaurant
-lgNzAEyFr8LCTuBTWnAMg|2024-02-20 13:35:23.866186|Dim Sum Palace|['28 W 56th St', 'New York, NY 10019']|40.762765496672955,-73.97609185077448|473|4.0|10019|Chinese restaurant
TzhAlljC_843JO7UDDUIaQ|2024-02-20 13:35:23.866194|The Tang - Upper West Side|['920 Amsterdam Ave', 'New York, NY 10025']|40.80006,-73.96639|314|4.3|10025|Chinese restaurant
rGUv1nNmsvy2jOlZtbaOpw|2024-02-20 13:35:23.866201|Dimsum Garden|['338 Lexington Ave', 'New York, NY 10016']|40.74979,-73.97743|109|4.3|10016|Chinese restaurant
BPErPpKSNluwcjbKRgze3w|2024-02-20 13:35:23.866208|Xi'an Famous Foods|['328 E 78th St', 'New York, NY 10075']|40.77197,-73.95452|690|4.2|10075|Chinese restaurant
NN3mOWF5e_pnR1ArqM2bHQ|2024-02-20 13:35:23.866406|OBAO|['647 9th Ave', 'New York, NY 10036']|40.7606544,-73.991332|4161|4.0|10036|Chinese restaurant
bwhR87JQezK6Gjft9ft95g|2024-02-20 13:35:24.797304|Yum Cha Chinese Kitchen and Bar|['228 Thompson St', 'New York, NY 10012']|40.729292,-73.998764|12|4.9|10012|Chinese restaurant
FcXsiSJbk2ZnHyFJMkMK3g|2024-02-20 13:35:24.797374|Mala Kitchen|['7 E 47th St', 'New York, NY 10017']|40.756545,-73.977673|41|4.1|10017|Chinese restaurant
croh2zWlbPyCQTNS11klcg|2024-02-20 13:35:24.797395|China River 川聚院|['258 W 44th St', 'New York, NY 10036']|40.75821,-73.98833|289|3.9|10036|Chinese restaurant
uaFHoq-a5XqxF-bsOK9_Qg|2024-02-20 13:35:24.797415|Real Kung Fu Little Steamed Buns Ramen|['811 8th Ave', 'New York, NY 10019']|40.7616,-73.98684|1166|3.8|10019|Chinese restaurant
xm_-5QZFzJidiUO--PgOYg|2024-02-20 13:35:24.797433|Bites of Xi'an|['60 W 56th St', 'New York, NY 10019']|40.76335868622376,-73.97709537292124|94|3.9|10019|Chinese restaurant
z5f--L8_vB_WvSaRca7LQQ|2024-02-20 13:35:24.797452|Mala House|['22 E 21st St', 'New York, NY 10017']|40.73945005575927,-73.98913809999999|104|4.7|10017|Chinese restaurant
oe8GEFE4QLFAKt87y7zcgA|2024-02-20 13:35:24.797469|Very Fresh Noodles|['409 W 15th St', 'New York, NY 10011']|40.74207,-74.00565|1521|4.4|10011|Chinese restaurant
pBNMZp_tKCAfRNx7-ybcHQ|2024-02-20 13:35:24.797485|Calle Dao Chelsea|['461 W 23rd St', 'New York, NY 10011']|40.74765439999999,-74.00352547055276|1080|4.5|10011|Chinese restaurant
LbuBN_aP9GW_Y0lT1et5Yg|2024-02-20 13:35:24.797503|Bulbap Grill|['746 10th Ave', 'Fl 1', 'New York, NY 10019']|40.76508,-73.99128|68|4.8|10019|Chinese restaurant
sfsjk1h50ooC2ioY7m48gw|2024-02-20 13:35:24.797520|Pig Heaven|['1420 3rd Ave', 'New York, NY 10028']|40.77544,-73.95686|516|3.9|10028|Chinese restaurant
gJXNSJ9VXTuCFmp_Kl9TVQ|2024-02-20 13:35:24.797536|Shanghai|['1388 2nd Ave', 'New York, NY 10021']|40.768291,-73.958381|139|3.8|10021|Chinese restaurant
KfEhJt_ts9Zy3iVvgevaWA|2024-02-20 13:35:24.797552|Dragon 89|['610 Amsterdam Ave', 'New York, NY 10024']|40.790062840060614,-73.97362346109614|3|4.7|10024|Chinese restaurant
YDZX2bJ1IyV0lunBYqbb4w|2024-02-20 13:35:24.797570|New Chinatown  Asian Cuisine/ Bar|['1650 3rd Ave', 'New York, NY 10128']|40.782945,-73.95132|65|4.5|10128|Chinese restaurant
FXhSEZfIqjMZh4hR0_8jMQ|2024-02-20 13:35:24.797587|China Xiang 中国湘|['360 W 42nd Street', 'New York, NY 10036']|40.7582902125633,-73.9925113993899|560|3.8|10036|Chinese restaurant
_keKJLEBW07bK7Jd6ikvAw|2024-02-20 13:35:24.797610|Hay Hay Roasted|['167 1st Ave', 'New York, NY 10003']|40.72908,-73.98446|32|4.5|10003|Chinese restaurant
qGgQMVExGERqGhZNDM2ROg|2024-02-20 13:35:24.797626|Wu Liang Ye|['36 W 48th St', 'New York, NY 10036']|40.75781,-73.97994|572|3.5|10036|Chinese restaurant
l1nX-f46dmOEmYPoiuLSaw|2024-02-20 13:35:24.797641|Peking Duck House|['236 E 53rd St', 'New York, NY 10022']|40.756912,-73.968109|527|3.4|10022|Chinese restaurant
vQe7_ZW_jBSWKtgSiXGIOA|2024-02-20 13:35:24.797658|Soup Dumpling Plus|['1550 Lemoine Ave', 'Ste 109', 'Fort Lee, NJ 07024']|40.84757,-73.9706099|1372|4.4|07024|Chinese restaurant
M-odQWSEfsR2mVEw7nKG-g|2024-02-20 13:35:24.797676|Nyonya|['199 Grand St', 'New York, NY 10013']|40.719116974367,-73.9968322948353|2404|3.9|10013|Chinese restaurant
wDuf4Qz9qsC62amLZgWNJQ|2024-02-20 13:35:24.797693|Little Alley|['550 3rd Ave', 'New York, NY 10016']|40.74744,-73.97728|550|3.9|10016|Chinese restaurant
s5JNxy0eAFgxS2Poi73ODw|2024-02-20 13:35:24.797709|Mala Project|['41 W 46th St', 'New York, NY 10036']|40.756899,-73.980586|550|3.9|10036|Chinese restaurant
LVkBYW-FNaZ2h-0zB8-vzA|2024-02-20 13:35:24.797725|Jiang's Kitchen|['65 St Marks Pl', 'New York, NY 10003']|40.72808,-73.98615|78|4.4|10003|Chinese restaurant
GuzlMBKNoClNx5I1-x-DDg|2024-02-20 13:35:24.797741|53 NYC|['53 W 53rd St', 'New York, NY 10019']|40.76179318437133,-73.9780863|136|4.2|10019|Chinese restaurant
iXH9H75idkSB-Eudo5ABhg|2024-02-20 13:35:24.797758|Tang By Mr. Sun|['1442 3rd Ave', 'New York, NY 10028']|40.77614,-73.95616|53|4.2|10028|Chinese restaurant
-lKKdp0XYVJY2DWL-ZSwtQ|2024-02-20 13:35:24.797773|Pac Rim|['308 E 49th St', 'New York, NY 10017']|40.75373972103885,-73.96800323380802|25|4.3|10017|Chinese restaurant
afbl_jCNpomzJiDBdomb6g|2024-02-20 13:35:24.797791|Oceans New York|['233 Park Ave S', 'New York, NY 10003']|40.737408,-73.987887|231|4.6|10003|Chinese restaurant
3eBV6HwWcdHzJW3sUH-2hw|2024-02-20 13:35:24.797808|ICHIRAN - Times Square|['152 W 49th St', 'New York, NY 10019']|40.7600737531204,-73.9833259411037|966|4.4|10019|Chinese restaurant
g0Xj6-LnjP34zVpHTN9V7Q|2024-02-20 13:35:24.797826|Manna's|['320 St Nicholas Ave', 'New York, NY 10027']|40.81111935185309,-73.9519402|137|3.6|10027|Chinese restaurant
BtsXojrMtfLRhhFK7rm35A|2024-02-20 13:35:24.797843|Hupo|['1007 50th Ave', 'Long Island City, NY 11101']|40.742827,-73.953575|247|4.3|11101|Chinese restaurant
6dVXDdgzDEVt4DvHzpWo9w|2024-02-20 13:35:24.797860|Tang Pavilion|['65 W 55th St', 'New York, NY 10019']|40.76275,-73.97725|348|3.6|10019|Chinese restaurant
GAFqRBlqZpLK2vYbiqzYhA|2024-02-20 13:35:24.797876|Peppercorn Station|['66 W 39th St', 'New York, NY 10018']|40.75266,-73.985145|111|4.3|10018|Chinese restaurant
Ig5-xwGEXMFssmwIvzxCRQ|2024-02-20 13:35:24.797892|Silky Kitchen|['3002 39th Ave', 'Spc 1', 'Long Island City, NY 11101']|40.75274078729301,-73.93320107260092|33|4.3|11101|Chinese restaurant
OvdCm3j_5HzItolfvwrEUA|2024-02-20 13:35:24.797911|Lilli & Loo|['785 Lexington Ave', 'New York, NY 10065']|40.76357,-73.96703|498|3.7|10065|Chinese restaurant
FQi7AP2j9UYc1c-VTF00rA|2024-02-20 13:35:24.797928|Wok In The Clouds|['127 E 28th St', 'New York, NY 10016']|40.7429,-73.9828|34|4.5|10016|Chinese restaurant
XaEFFUabnbH8ZF7ccmSAlQ|2024-02-20 13:35:24.797944|South Of The Clouds|['16 W 8th St', 'New York, NY 10011']|40.73264,-73.99752|254|3.9|10011|Chinese restaurant
ryvBsB9FrBBZDak87iGS1w|2024-02-20 13:35:24.797960|Sea Fire Grill|['158 E 48th St', 'New York, NY 10017']|40.754691900002385,-73.97222533963885|1554|4.5|10017|Chinese restaurant
oTL_nPII6x0HfPVpEQklUg|2024-02-20 13:35:24.797978|PLANTA Queen Nomad|['15 W 27th St', 'New York, NY 10001']|40.744435,-73.98832|711|4.3|10001|Chinese restaurant
SxKvgnkMMZdhBJcxxKQnww|2024-02-20 13:35:24.797994|Nobu Fifty Seven|['40 W 57th St', 'New York, NY 10019']|40.76371615273354,-73.97624989600685|1490|4.0|10019|Chinese restaurant
iM2DKMjyU_R1r8x-3AZGQg|2024-02-20 13:35:24.798012|New Cottage|['2199 Broadway', 'New York, NY 10024']|40.78326357630784,-73.98078454782609|92|3.9|10024|Chinese restaurant
Qwd4Tv-CqgO2Yl9zZgkKOQ|2024-02-20 13:35:24.798029|Shun Lee Palace|['155 E 55th St', 'New York, NY 10022']|40.75945,-73.96907|343|3.2|10022|Chinese restaurant
83BXSwE0166sObnXLUE4bQ|2024-02-20 13:35:24.798046|Land|['450 Amsterdam Ave', 'New York, NY 10024']|40.78497,-73.9772182|1131|3.8|10024|Chinese restaurant
xCHApgtkLpEyh0lz-uhZvg|2024-02-20 13:35:24.798062|Szechuan Garden|['239 W 105th St', 'New York, NY 10025']|40.80053,-73.967586|385|4.0|10025|Chinese restaurant
NFDN32ekG2gfCIikVCm0Gw|2024-02-20 13:35:24.798079|The Corner Chinese Restaurant|['698 9th Ave', 'New York, NY 10036']|40.762019,-73.989676|54|4.1|10036|Chinese restaurant
6YehBdKHcLDsvaewhcEjFQ|2024-02-20 13:35:24.798096|Hey Yuet|['251 W 26th St', 'New York, NY 10001']|40.747241,-73.996441|236|4.3|10001|Chinese restaurant
sBCJYLPNJuagg-aJ3Y_ozQ|2024-02-20 13:35:24.798113|Cheli|['19 St Marks Pl', 'Ste 23', 'New York, NY 10003']|40.72925,-73.9886|348|4.2|10003|Chinese restaurant
jwKPVep2qZYBUA6SLLQPvg|2024-02-20 13:35:24.798130|Legend 72|['127 W 72nd St', 'New York, NY 10023']|40.77796,-73.9796901|289|3.4|10023|Chinese restaurant
8ZBbl3VN-cu6PFOL0D7-8A|2024-02-20 13:35:24.798146|Hunan Village|['339 Lexington Ave New York Ny', 'New York, NY 10016']|40.749688,-73.977171|48|3.9|10016|Chinese restaurant
cJ1Uf4MlR4egrG-lbfh8oA|2024-02-20 13:35:24.798163|Spice Symphony Times Square|['317 W 46th St', 'New York, NY 10036']|40.760281,-73.988754|3|5.0|10036|Chinese restaurant
gNGxh97n0NZgYG1Q_no9Kg|2024-02-20 13:35:24.798385|Potluck Club|['133 Chrystie St', 'New York, NY 10002']|40.719566,-73.993524|332|4.4|10002|Chinese restaurant
U_JIkNwSc-J-tu_E8iztyg|2024-02-20 13:35:24.798409|Three Hotpot Bbq|['18 W 38th St', 'New York, NY 10018']|40.751224,-73.983822|73|4.4|10018|Chinese restaurant
SYFLyQAFRFoDURRWafeLKA|2024-02-20 13:35:25.918554|Lin & Daughters|['181 West 4th St', 'New York, NY 10014']|40.73253,-74.00167|76|4.6|10014|Chinese restaurant
8Oo2AtQEPDfxIOnA8wfXoQ|2024-02-20 13:35:25.918636|886|['26 Saint Marks Pl', 'New York, NY 10003']|40.72880795067701,-73.988719|711|4.0|10003|Chinese restaurant
X2CQCOS4AiwKzqAOrZxeYg|2024-02-20 13:35:25.918661|Bites Of Xi’an|['555 8th Ave', 'New York, NY 10018']|40.7546,-73.99194|21|4.1|10018|Chinese restaurant
lgHmMRBaU-48kGaNz3jYxg|2024-02-20 13:35:25.918692|Chairman Sun|['47-30 Vernon Blvd', 'Long Island City, NY 11101']|40.74465,-73.95375|243|3.7|11101|Chinese restaurant
mIbmzqQ473BUF8cngXXs_Q|2024-02-20 13:35:25.918715|Joy Love Club|['232 8th Ave', 'New York, NY 10011']|40.744343,-73.998804|177|4.5|10011|Chinese restaurant
gvOe1TLb8hZgx0naC9LYpw|2024-02-20 13:35:25.918737|Sei Less|['156 W 38th St', 'New York, NY 10018']|40.75314,-73.98814|305|3.9|10018|Chinese restaurant
_lx7nuvXU7LhDRL3a9TMAw|2024-02-20 13:35:25.918755|DD Soup Dumpling|['321 W 42nd St', '1A', 'New York, NY 10036']|40.757906,-73.990692|180|4.5|10036|Chinese restaurant
cG9yhk_wkMm7XwR2HcHmrQ|2024-02-20 13:35:25.918773|Hidden Leaf|['75 Manhattan W Plz', 'New York, NY 10001']|40.75286450667627,-73.9982738730148|95|4.3|10001|Chinese restaurant
jjJc_CrkB2HodEinB6cWww|2024-02-20 13:35:25.918799|LoveMama|['174 2nd Ave', 'New York, NY 10003']|40.730408722512074,-73.98612673033213|6657|4.3|10003|Chinese restaurant
TU_BU9HLflYI2xlyqVQdRA|2024-02-20 13:35:25.918819|TAO Uptown|['42 E 58th St', 'New York, NY 10022']|40.762659285620664,-73.97148709999999|2959|3.6|10022|Chinese restaurant
Q99VEcN9r1Qqmvnm5I03tw|2024-02-20 13:35:25.918838|WAU|['434 Amsterdam Ave', 'New York, NY 10024']|40.784489,-73.977739|206|4.0|10024|Chinese restaurant
KOg9x0nxrgn2EmfUpI10Fw|2024-02-20 13:35:25.918857|Yingtao|['805 9th Ave', 'New York, NY 10019']|40.76567,-73.98759|9|4.1|10019|Chinese restaurant
JaKLZrh1Y_2qB_0Gc3bk3A|2024-02-20 13:35:25.918875|Ollie's Sichuan|['411 W 42nd St', 'New York, NY 10036']|40.75884,-73.99319|625|3.4|10036|Chinese restaurant
nzqNfNXjtB6bxp-UN7xXkA|2024-02-20 13:35:25.918895|Bao Bao Cafe|['214 W 39th Street Retail 101', 'New York, NY 10018']|40.75432,-73.989333|110|4.5|10018|Chinese restaurant
BF5rzGE9OOTOUVH0pjHa5Q|2024-02-20 13:35:25.918913|Shanghai Villa|['144 West 4th St', 'New York, NY 10012']|40.73135,-74.00048|29|4.6|10012|Chinese restaurant
4DInnPhOyvXFbYpUdO0SMQ|2024-02-20 13:35:25.918935|Antidote|['66 S 2nd St', 'Brooklyn, NY 11249']|40.714186,-73.965493|466|4.7|11249|Chinese restaurant
8XJrpuI6RHMXmjrVzP03dw|2024-02-20 13:35:25.918954|Jing Li|['27-35 Jackson Ave', 'Long Island city, NY 11101']|40.74816,-73.94031|56|3.8|11101|Chinese restaurant
M-4J09S14mPsH1EJrnR1Og|2024-02-20 13:35:25.918975|Yemen chuanchuan 爺们串串 爷们串串|['105 W27 St', 'New York, NY 10001']|40.745733,-73.99132|37|4.1|10001|Chinese restaurant
l7G5tDA96xbA_bx1ZgkOeg|2024-02-20 13:35:25.918993|ICHIRAN Midtown|['132 W 31st St', 'New York, NY 10001']|40.74839,-73.99062|1433|4.2|10001|Chinese restaurant
7ZQSMqWzvXMSetXnii2fBg|2024-02-20 13:35:25.919014|Excellent Dumpling House|['165 W 23rd St', 'New York, NY 10011']|40.74401,-73.99504|795|4.0|10011|Chinese restaurant
_saXnBy0Wq2Gb3YusWZhqw|2024-02-20 13:35:25.919034|Five Senses|['9 W 32nd St', 'New York, NY 10001']|40.747573158626,-73.9863122632311|1755|3.9|10001|Chinese restaurant
slMRh4GEu5Mg53kicgmf4g|2024-02-20 13:35:25.919053|Four Four South Village|['368 W 46th St', 'New York, NY 10036']|40.76068,-73.99034|115|4.3|10036|Chinese restaurant
JJLFsLZbL21fbYRqcIGCLA|2024-02-20 13:35:25.919071|Awesum Dimsum|['612 8th Ave', 'New York, NY 10018']|40.7557,-73.9907|334|4.5|10018|Chinese restaurant
CqQ2Og9kf-LhlUWtODalCQ|2024-02-20 13:35:25.919093|Blue Ribbon Sushi Bar & Grill - Columbus Circle|['308 W 58th St', '6 Columbus Hotel', 'New York, NY 10019']|40.7675589,-73.9831177|867|3.9|10019|Chinese restaurant
MhceeLrM2_3mcKw5EGLY6A|2024-02-20 13:35:25.919115|Pure Thai Cookhouse|['766 9th Ave', 'New York, NY 10019']|40.764291,-73.988159|2852|4.2|10019|Chinese restaurant
iSjPBJRiWqrgxW7ZM3CGig|2024-02-20 13:35:25.919132|Birds of a Feather|['191 Grand St', 'Brooklyn, NY 11211']|40.71442,-73.960441|650|4.2|11211|Chinese restaurant
-OixbLnFLCzQclxCSbUQ8w|2024-02-20 13:35:25.919151|Up Thai|['1411 2nd Ave', 'New York, NY 10021']|40.7698275926665,-73.9576330868512|3155|4.4|10021|Chinese restaurant
KjN7kiCP4kZbt1dj8w3A3g|2024-02-20 13:35:25.919170|"Steam - Shanghai Asian Fusion | All day dim sum"|['470 6th Ave', 'New York, NY 10011']|40.73561,-73.99789|131|4.5|10011|Chinese restaurant
olRNNJCJ2TJvPRmjBiOcGA|2024-02-20 13:35:25.919196|Silky Kitchen|['137 E 13th St', 'New York, NY 10003']|40.733077,-73.988303|298|4.4|10003|Chinese restaurant
pPqEu60FMffpiWqk2MCrVA|2024-02-20 13:35:25.919217|Hutaoli Music Restaurant & Bar|['42 W 33rd St', 'New York, NY 10001']|40.748413,-73.9871229|202|3.9|10001|Chinese restaurant
nI1UYDCYUTt23TpGxqnLKg|2024-02-20 13:35:25.919239|Buddakan|['75 9th Ave', 'New York, NY 10011']|40.7422762672197,-74.0048000961542|4619|4.1|10011|Chinese restaurant
E_Rxnmim6J2ECFtU0QGlsQ|2024-02-20 13:35:25.919261|Uncle Lou|['73 Mulberry St', 'New York, NY 10013']|40.71623,-73.99925|409|4.2|10013|Chinese restaurant
-oj8yGjD32mIKQEOou-cKQ|2024-02-20 13:35:25.919278|New York Kimchi|['16 W 48th St', 'New York, NY 10036']|40.75762940000175,-73.9792127116464|323|3.5|10036|Chinese restaurant
c_YQu6gmnG_v7nXoTQHzHA|2024-02-20 13:35:25.919302|Xiao Chuan Dian|['8 Henry Ave', 'Palisades Park, NJ 07650']|40.8462581,-73.9995048|69|3.8|07650|Chinese restaurant
UaQF4mv6hVjiegkwUvQeMQ|2024-02-20 13:35:25.919322|Dim Sum Chelsea|['236 8th Ave', 'New York, NY 10011']|40.744624,-73.998649|191|4.5|10011|Chinese restaurant
VbFYau70iG_s6UNFwYtGVQ|2024-02-20 13:35:25.919344|Xu's Public House|['15 Union Square W', 'New York, NY 10003']|40.73589,-73.9917|156|3.9|10003|Chinese restaurant
